,State_Name,District_Name,Crop
142465,Mizoram,LAWNGTLAI,Peas & beans (Pulses)
142828,Mizoram,SAIHA,Peas & beans (Pulses)
49616,Chhattisgarh,GARIYABAND,Mesta
6354,Andhra Pradesh,SPSR NELLORE,Castor seed
234376,Uttarakhand,PAURI GARHWAL,Other  Rabi pulses
121562,Madhya Pradesh,SHAJAPUR,Small millets
47125,Chhattisgarh,BEMETARA,Horse-gram
58713,Gujarat,BHARUCH,Sesamum
46999,Chhattisgarh,BASTAR,Coconut 
8756,Andhra Pradesh,VIZIANAGARAM,other oilseeds
121351,Madhya Pradesh,SHAHDOL,Banana
47148,Chhattisgarh,BIJAPUR,Arhar/Tur
121876,Madhya Pradesh,SHEOPUR,Sannhamp
233884,Uttarakhand,NAINITAL,Moong(Green Gram)
120745,Madhya Pradesh,SEONI,Horse-gram
59031,Gujarat,BHAVNAGAR,Small millets
46121,Chhattisgarh,BALODA BAZAR,Mesta
46101,Chhattisgarh,BALOD,Other  Rabi pulses
228121,Uttar Pradesh,SHAHJAHANPUR,Linseed
45912,Chandigarh,CHANDIGARH,Arhar/Tur
147861,Odisha,BALESHWAR,Horse-gram
46270,Chhattisgarh,BALRAMPUR,Jute
148689,Odisha,BHADRAK,Urad
122960,Madhya Pradesh,SIDHI,Ragi
122666,Madhya Pradesh,SHIVPURI,Other  Rabi pulses
146536,Nagaland,ZUNHEBOTO,Moong(Green Gram)
123231,Madhya Pradesh,SINGRAULI,Soyabean
58267,Gujarat,BANAS KANTHA,Gram
146849,Odisha,ANUGUL,Ragi
228709,Uttar Pradesh,SIDDHARTH NAGAR,Moong(Green Gram)
232966,Uttarakhand,CHAMPAWAT,Other  Rabi pulses
52964,Chhattisgarh,KOREA,Sunflower
7394,Andhra Pradesh,SRIKAKULAM,Sesamum
232119,Uttarakhand,BAGESHWAR,Other  Rabi pulses
134431,Maharashtra,PUNE,Sesamum
130516,Maharashtra,JALNA,Other  Rabi pulses
53285,Chhattisgarh,MAHASAMUND,Safflower
133593,Maharashtra,PARBHANI,Sesamum
130831,Maharashtra,KOLHAPUR,Sunflower
54965,Chhattisgarh,RAIPUR,Coconut 
134859,Maharashtra,RATNAGIRI,Other Cereals & Millets
135004,Maharashtra,SANGLI,Sesamum
134539,Maharashtra,RAIGAD,Sesamum
133545,Maharashtra,PALGHAR,Moong(Green Gram)
130947,Maharashtra,LATUR,Castor seed
